KR_38	KR_50	KR_51	KR_53	KR_56	KR_57	KR_61	KR_64	KR_08	KR_13	KR_14	KR_15	KR_18	KR_19	KR_21	KR_23	KR_24	KR_25	KR_26	KR_27	KR_28	KR_33	KR_35	KR_48	KR_52
HSPH1	42.084	35.64	85.744	29.043	48.878	49.8	65.903	57.393	23.649	21.64	39.768	42.387	23.593	83.8	60.582	71.535	86.474	142.328	27.172	53.008	15.172	22.328	26.746	16.629	24.818
HTATIP2	21.005	14.493	38.75	21.308	24.735	30.217	28.801	28.094	13.467	18.341	16.498	15.936	9.552	38.982	43.824	37.913	47.046	40.382	20.415	17.181	19.172	14.223	13.156	15.891	13.329
HTATSF1	20.091	14.675	27.478	20.626	13.042	22.609	17.954	25.912	12.402	11.448	10.643	8.609	9.079	30.947	23.43	36.782	29	31.955	8.13	11.844	11.3	11.208	14.37	10.49	12.362
HTN1	0.065	0.096	0.116	0.059	0.075	0.084	0.073	0.302	0.024	0.066	0.012	0.037	0.068	0.092	0.04	0.009	0.061	0.177	0.096	0.104	0.064	0.044	0.031	0.012	0.024
HTN3	0.131	0.139	0.13	0.237	0.136	0.026	0.05	0.55	0.1	0	0.032	0.067	0	0.061	0.117	0	0.044	0	0.076	0.042	0.046	0	0.161	0	0
HTR1A	0	0	0.016	0.011	0	0	0	0.008	0	0	0	0	0	0	0	0.023	0.011	0	0	0.009	0.029	0.016	0	0.004	0
HTR1B	0.199	0.104	0.198	0.033	0.109	0.009	0.093	0	0.008	0.038	0.118	0.032	0.068	0.021	0.241	0.17	0.109	0.228	0.089	0.026	0.011	0.046	0.032	0.045	0.095
HTR1D	0.025	0.021	0.055	0.044	0.009	0.147	0.04	0.304	0.084	0.101	0.029	0.01	0.009	0.212	0.069	0	0.562	0.043	0.059	0	0.01	0.044	0.016	0.027	0.081
HTR1E	0.054	0	0.007	0.016	0.009	0	0.011	0.031	0	0.006	0	0.007	0	0.053	0	0.076	0.029	0.036	0	0.017	0.096	0.087	0.027	0.032	0.005
HTR1F	0.005	0.043	0.028	0.01	0.033	0.033	0	0.073	0	0.006	0.007	0.036	0	0.012	0.012	0	0.018	0.051	0.023	0	0.007	0.097	0	0	0.027
HTR2A	0.168	0.128	0.171	0.036	0.074	0.054	0.073	0.129	0.013	0.009	0.214	0.026	0.058	0.015	0.17	0.09	0.203	0.348	0.076	0.141	0.047	0.134	0.026	0.054	0.195
HTR2B	2.407	1.792	3.38	2.061	1.795	3.064	2.552	4.564	1.292	1.659	2.226	1.697	1.506	1.765	1.544	1.771	1.341	3.158	1.702	3.079	1.891	1.704	2.392	0.822	1.445
HTR2C	0	0.009	0.005	0	0	0	0	0.015	0	0	0	0	0.005	0	0	0	0	0.039	0	0	0	0.006	0	0	0.003
HTR3A	0.022	0.011	0	0	0	0	0.007	0.006	0	0	0	0	0.008	0	0.059	0.026	0.023	0.017	0.014	0	0	0	0	0	0
HTR3B	1.155	0.125	0.481	0.416	0.145	0.355	1.665	0.15	0.518	0.219	0.188	0.095	0.074	0.276	0.582	1.192	0.321	0.359	0.187	0.186	0.221	0.302	0.15	0.415	0.245
HTR3C	0.018	0.014	0.008	0	0.015	0.039	0	0.06	0.023	0	0.007	0	0.014	0.015	0	0	0	0	0.008	0.009	0	0.008	0.007	0.004	0
HTR3D	0.03	0	0.047	0.007	0	0.074	0.03	0.037	0.02	0	0.011	0	0	0.034	0	0	0	0	0.007	0	0.05	0.009	0	0.01	0
HTR3E	0.145	0.129	0.161	0.154	0.146	0.27	0.102	0.28	0.039	0.027	0.076	0	0.006	0	0.025	0.075	0	0.085	0.065	0.015	0.047	0.021	0.007	0.031	0.059
HTR4	0.123	0.009	0.245	0.093	0.168	0.082	0.149	0.309	0.09	0.087	0.062	0.102	0.017	0.095	0.137	0.173	0.101	0	0.065	0.106	0.055	0.048	0.019	0.11	0.058
HTR5A	0.004	0.003	0.005	0	0	0.008	0.004	0.109	0	0	0	0	0	0	0	0	0	0	0.008	0	0	0	0	0	0
HTR6	0.057	0.047	0.064	0.018	0.053	0.079	0.033	0.055	0.017	0.03	0	0.028	0.016	0.035	0.034	0.009	0.08	0.049	0.016	0.007	0.029	0.044	0.061	0.024	0.013
HTR7	0.188	0.127	1.553	0.034	0.412	0.103	0.137	0.117	0.053	0.198	0.133	1.189	0.896	0.587	2.167	0.139	1.517	2.798	0.958	0.175	0.114	0.301	0.02	0.055	0.079
HTRA1	280.154	198.54	375.353	89.265	98.903	204.473	243.355	205.629	39.674	42.292	83.074	38.374	30.959	234.062	282.681	391.15	285.657	307.004	36.832	172.695	149.197	92.477	108.447	112.073	164.56
HTRA2	5.658	3.334	7.523	5.128	4.585	5.855	3.612	4.8	3.028	2.769	2.243	2.985	3.18	7.039	7.529	8.683	8.402	8.361	3.855	2.974	2.429	2.393	3.83	2.393	2.966
HTRA3	0.338	0.116	0.293	0.007	0.731	0.144	0.046	0.019	0.035	0.189	0.118	0.909	0.401	0.936	5.643	0.185	2.675	2.178	0.466	0.073	0.695	0.408	0.049	0.57	0.575
HTRA4	0	0.086	0.004	0	0.335	0	0	0	0.017	0	0	0.207	0.952	2.178	0	0	0.05	0	3.065	0.304	0	0.017	0.02	0.021	0.098
HTT	28.071	19.924	43.446	30.697	22.876	32.825	26.322	31.079	11.389	11.666	11.191	15.037	11.669	26.624	27.279	23.601	19.986	39.859	15.816	13.821	18.552	16.949	20.371	8.651	11.426
HUNK	2.348	0.412	2.406	1.101	0.993	1.756	0.819	1.207	0.345	0.195	0.723	0.391	0.605	0.51	0.924	1.923	1.415	2.222	0.543	3.415	0.888	1.231	0.857	0.261	0.359
HUS1	13.337	10.625	18.458	16.199	11.067	17.319	13.556	19.802	6.301	6.378	6.143	8.345	6.778	18.91	16.22	16.583	18.467	24.997	8.748	8.943	9.619	7.542	10.584	6.817	8.491
HUS1B	0.271	0.398	0.552	0.383	0.248	0.501	0.401	0.47	0.164	0.314	0.462	0.441	0.286	0.34	0.761	0.273	0.315	0.503	0.327	0.59	0.436	0.139	0.583	0.143	0.138
HUWE1	56.284	37.597	81.963	54.613	39.674	63.097	47.114	64.84	14.56	18.526	20.289	21.456	21.611	51.168	53.694	47.977	46.688	79.666	28.744	35.625	26.335	24.501	40.878	15.502	19.354
HVCN1	0.654	0.597	1.213	0.416	1.645	0.47	0.649	0.539	0.279	0.584	0.335	2.767	3.588	3.339	2.424	1.184	0.866	1.935	2.789	0.044	0.474	0.437	0.174	0.439	2.09
HYAL1	5.68	1.935	3.82	2.179	0.843	4.575	4.743	2.931	2.768	2.109	1.162	0.821	0.403	5.036	1.745	6.457	4.197	3.843	0.749	2.476	1.722	1.438	2.413	1.506	1.375
HYAL2	12.957	6.583	17.033	6.969	6.289	10.893	7.223	9.144	5.038	4.782	4.967	3.758	3.673	14.361	12.535	15.435	15.819	15.365	3.372	6.386	5.678	5.119	6.791	3.508	5.318
HYAL3	1.061	0.715	2.148	0.97	0.318	1.032	0.721	1.308	0.657	0.374	0.867	0.463	0.188	1.692	0.884	1.016	1.371	1.67	0.195	0.99	0.221	0.27	1.481	0.285	0.929
HYAL4	0.072	0.054	0.22	0.051	0.041	0.101	0.152	0.08	0.03	0.046	0	0.008	0	0.027	0.057	0.037	0.04	0.679	0.1	0.04	0	0.024	0.062	0.338	0.012
HYDIN	9.171	7.755	9.758	11.212	3.628	7.075	7.103	6.972	2.63	1.836	3.377	0.819	0.715	1.667	0.814	4.369	1.688	4.702	2.192	4.439	2.36	4.056	5.075	1.23	2.991
HYI	3.433	3.376	4.403	3.241	2.225	4.166	2.76	4.099	2.244	1.64	2.253	1.723	2.759	4.414	5.222	7.854	5.231	6.27	1.996	2.645	3.12	2.14	2.462	1.115	2.978
HYKK	2.711	2.482	3.647	4.439	2.274	4.047	3.018	4.316	1.87	2.366	2.394	0.819	0.657	3.195	2.581	4.659	3.06	2.833	0.707	1.431	2.908	2.449	2.062	1.233	1.653
HYLS1	2.372	1.052	2.013	2.165	1.413	2.392	2.137	2.637	1.116	1.303	1.194	0.929	0.766	2.425	1.898	3.186	2.868	2.75	0.975	1.777	0.87	1.084	1.374	1.04	1.555
HYOU1	16.17	7.798	34.691	9.63	9.737	14.383	12.338	11.295	3.843	4.566	5.475	8.085	7.51	22.373	17.735	18.173	20.677	27.278	8.967	8.169	6.558	6.569	7.934	6.058	6.66
HYPK	1.992	1.263	1.96	2.003	1.499	2.183	1.036	1.691	0.56	0.589	0.751	1.192	0.713	0.94	1.939	1.873	1.911	2.166	0.583	0.763	1.314	0.653	2.454	0.304	0.552
HYPM	0	0	0	0	0	0	0	0	0	0	0.039	0	0	0	0	0	0	0	0	0	0	0.042	0	0	0
IAH1	5.761	4.559	12.562	4.53	8.148	5.862	8.058	9.411	3.791	3.79	7.49	6.675	7.942	14.9	16.737	17.423	15.971	20.474	9.506	7.262	6.139	6.354	4.747	3.262	6.539
IAPP	0.125	0	0.054	0	0	0.008	0.024	0.245	0.075	0.009	0	0	0	0	0	0	0.028	0	0.009	0.013	0	0	0	0.006	0
IARS	47.86	33.806	73.232	47.258	33.2	57.5	49.574	65.087	19.727	22.743	29.92	26.072	29.187	75.577	56.831	61.101	55.856	91.105	26.992	30.554	38.31	39.498	37.372	19.948	27.686
IARS2	21.709	16.674	36.678	25.769	17.974	26.695	25.063	33.015	12.529	13.158	10.394	11.139	10.835	39.663	29.838	36.747	35.63	43.047	15.986	14.245	12.782	13.133	16.448	11.374	12.96
IBA57	1.388	0.976	1.793	1.12	0.756	1.441	0.948	1.129	0.613	0.403	0.691	0.845	0.422	1.585	1.981	1.265	2.123	3.242	0.404	0.847	0.676	0.478	0.564	0.371	0.495
IBSP	0.009	0.006	0.105	0	0.027	0	0.051	0.061	0.018	0	0.046	0.012	0.021	0	0.04	0	0.291	6.506	0.01	0	0.023	0	0	0.096	0.105
IBTK	44.561	34.015	49.07	59.923	31.489	59.737	55.411	83.998	35.429	25.665	30.239	17.077	14.31	59.182	35.855	54.528	47.043	61.171	19.467	25.643	30.843	24.156	44.883	24.941	24.897
ICA1	8.374	2.143	22.514	2.673	6.932	4.035	5.108	4.072	2.141	3.715	3.282	3.666	4.472	7.482	13.076	6.169	9.339	15.01	5.869	2.927	3.544	9.697	5.349	2.547	2.94
ICA1L	4.404	3.059	6.727	7.377	3.809	5.832	2.88	5.931	1.986	2.526	2.257	2.339	1.295	4.107	3.692	3.771	2.602	5.375	2.139	1.191	3.195	2.793	2.621	1.296	1.82
ICAM1	0.836	1.467	5.854	0.227	7.327	1.046	1.3	0.363	0.61	1.538	0.641	19.747	8.705	14.915	30.406	3.137	5.519	40.37	22.658	0.807	1.863	2.172	0.396	2.903	7.344
ICAM2	0.757	0.421	0.771	0.233	1.773	0.346	0.518	0.569	0.107	0.568	0.048	1.096	1.087	0.487	1.269	0.744	0.542	0.841	0.933	0.39	0.933	0.216	0.117	0.427	0.817
ICAM3	1.608	0.886	2.838	0.634	2.974	1.032	1.574	1.757	0.635	2.278	1.273	2.884	3.155	3.461	3.057	3.125	2.488	3.281	2.39	1.645	2.042	1.145	0.958	1.73	1.935
ICAM4	0.071	0.036	0.328	0.123	0.145	0.185	0.075	0.081	0.018	0.23	0	0.077	0.082	0	0.345	0.211	0.16	0	0.042	0	0.057	0.049	0.03	0.082	0.031
ICAM5	0.035	0.024	0.23	0.01	0.134	0.008	0.004	0.005	0.021	0.103	0.004	0.156	0.366	0.486	0.502	0.197	0.047	0.815	0.294	0.021	0.057	0.123	0.06	0.056	0.125
ICE1	15.747	11.372	21.979	16.104	11.171	19.298	16.329	22.795	8.168	7.544	10.085	10.752	7.906	22.311	17.562	17.91	17.709	26.348	11.095	9.94	10.508	12.49	14.495	5.985	7.953
ICE2	23.77	17.322	31.898	24.548	20.431	23.321	21.361	29.75	11.803	14.003	17.754	10.597	12.203	27.212	29.311	30.567	24.011	36.334	15.141	13.192	15.814	13.246	16.561	9.374	12.328
ICK	8.059	6.325	9.95	9.591	6.791	10.973	6.451	12.286	5.104	5.098	2.983	2.595	1.755	7.334	8.966	9.249	10.934	10.445	3.598	3.124	4.773	5.428	4.593	3.484	4.328
ICMT	19.056	12.759	27.342	18.81	12.005	20.872	17.316	23.594	9.175	9.093	7.52	6.837	7.426	24.981	23.21	23.411	25.223	23.243	7.033	8.486	10.46	10.295	13.199	8.602	11.276
ICOS	0.071	0.168	0.186	0.01	0.514	0.048	0.07	0.053	0.063	0.284	0.193	6.723	1.231	1.574	1.095	0.08	0.272	1.417	3.473	0.164	0.29	0.106	0.014	0.295	0.262
ICOSLG	1.859	0.873	1.062	4.505	0.82	6.499	0.719	2.518	1.201	0.516	0.854	0.91	1.695	2.761	2.517	3.825	1.063	1.56	1.488	0.591	1.129	0.899	2.382	0.352	0.616
ICT1	10.344	7.314	15.962	10.104	7.599	14.308	12.145	13.194	6.894	8.366	7.233	7.508	7.882	19.185	13.832	20.034	18.241	23.072	5.775	7.607	8.704	6.19	7.276	7.945	7.763
ID1	17.211	36.312	28.34	15.096	23.802	40.568	29.511	39.398	45.988	41.178	31.62	49.312	20.734	314.779	92.331	94.161	256.042	145.726	16.316	99.349	25.353	17.714	178.014	29.434	37.879
ID2	7.044	5.785	12.974	2.581	9.348	7.532	9.637	5.71	3.539	11.549	4.981	30.072	15.94	22.448	44.046	10.674	28.823	31.906	20.859	9.559	5.629	7.331	2.911	6.91	8.066
ID3	9.9	12.026	21.217	3.291	7.16	13.579	7.26	12.16	7.506	6.881	8.308	8.688	4.599	20.739	29.406	18.447	55.804	17.404	14.096	20.611	4.924	7.033	19.634	6.972	9.571
ID4	0.62	0.891	5.789	0.64	0.311	1.253	0.906	2.005	0.216	0.324	0.487	0.864	1.858	1.558	2.464	1.165	3.166	5.594	0.909	1.214	0.719	0.352	1.183	0.688	0.737
IDE	28.074	14.466	35.302	24.638	19.723	25.16	23.61	28.095	13.881	14.163	13.057	10.697	11.022	28.108	23.573	28.936	27.408	32.818	13.03	15.163	16.525	19.347	13.732	9.809	15.143
IDH1	35.088	22.063	51.94	35.724	24.322	31.078	36.449	37.64	16.894	24.711	17.768	22	18.161	59.313	45.423	46.769	58.124	55.091	28.106	16	17.922	23.966	16.404	16.599	16.883
IDH2	8.425	4.929	18.064	6.07	9.171	5.825	5.726	5.721	3.589	4.751	3.317	11.47	13.66	20.978	30.786	12.865	22.479	34.07	9.36	6.292	7.455	9.246	3.344	5.049	5.219
IDH3A	26.651	17.215	34.591	27.282	20.652	36.836	28.855	40.088	16.333	24.396	17.778	23.153	16.782	65.983	36.361	39.095	42.946	60.959	18.363	19.16	17.684	19.872	23.01	16.389	18.79
IDH3B	21.718	10.909	30.738	18.614	13.869	21.14	19.212	20.108	7.536	10.95	7.49	10.218	9.806	30.526	22.312	30.752	27.426	32.059	11.121	12.511	13.275	10.251	12.797	7.797	11.728
IDH3G	10.763	6.914	16.971	10.241	8.127	11.524	8.984	11.418	4.914	5.237	3.998	6.511	5.855	16.249	15.162	17.777	14.841	19.74	5.435	7.018	6.808	4.775	6.739	4.893	7.104
IDI1	39.839	26.629	64.267	31.419	13.808	40.892	68.039	43.284	22.52	22.928	32.581	31.72	11.18	149.526	35.644	67.521	75.096	119.963	13.824	23.705	15.557	21.824	26.835	19.88	16.915
IDI2	0	0.009	0.068	0	0.021	0	0	0.018	0	0	0.019	0	0	0.054	0	0	0.04	0	0	0.088	0	0.049	0.019	0.017	0
IDNK	2.842	2.473	3.435	3.142	2.303	4.434	2.18	3.528	1.637	1.669	1.471	1.952	1.548	2.829	1.879	2.872	3.277	4.059	2.149	2.883	1.494	1.506	1.541	0.932	2.19
IDO1	0.75	0.322	0.742	0.233	6.777	0.09	0.176	0.477	0.41	7.604	0.413	113.498	1.716	6.57	78.193	1.189	6.739	2.42	43.213	0.151	1.664	1.452	0	13.488	1.211
IDO2	0.056	0.024	0.019	0.012	0.13	0.015	0.019	0.021	0	0.011	0.009	0.408	0.144	0.106	0.066	0.03	0.005	0.185	0.491	0.005	0.049	0.026	0	0.007	0.009
IDS	22.967	16.166	53.082	15.803	17.291	21.288	19.177	19.778	9.944	10.305	12.569	13.434	11.51	33.714	31.769	30.021	27.191	54.627	13.155	19.792	10.717	12.608	12.422	11.842	16.477
IDUA	5.165	4.526	7.397	6.001	2.914	5.696	3.091	3.07	1	1.891	1.975	1.277	2.329	8.575	10.435	9.042	4.961	9.638	1.114	2.188	4.05	2.071	3.43	1.291	1.909
IER2	5.827	10.576	10.997	4.928	8.685	10.57	7.485	8.834	6.241	5.987	4.041	12.758	6.629	80.655	28.094	19.393	60.231	39.969	4.737	18.466	5.13	4.218	19.822	8.804	5.354
IER3	9.645	12.406	22.033	7.918	7.388	17.394	18.308	16.417	14.741	8.363	10.565	21.825	18.47	70.783	27.924	35.769	52.22	86.295	21.799	75.572	10.455	8.81	36.594	7.39	13.436
IER3IP1	10.59	14.222	13.616	18.776	9.26	16.817	10.789	40.248	7.072	5.904	6.61	4.652	3.654	19.819	16.524	14.332	16.613	18.255	5.496	5.901	7.146	5.715	12.967	5.71	6.586
IER5	4.93	6.234	10.989	6.28	4.897	10.15	4.97	9.35	4.891	6.051	3.201	6.833	5.467	22.494	15.777	10.851	20.074	18.078	6.15	8.144	4.939	2.602	10.417	5.261	4.858
IER5L	0.333	0.774	1.318	0.093	0.459	0.22	0.196	0.346	0.33	0.974	0.676	2.182	2.924	4.521	6.543	2.804	6.174	6.521	0.338	1.064	0.791	1.185	0.569	0.703	1.208
IFFO1	1.289	1.232	1.597	0.288	1.343	0.813	0.875	0.398	0.227	0.722	0.644	1.902	2.485	3.033	3.107	1.82	2.134	2.172	1.944	0.591	0.846	0.772	0.217	0.606	1.322
IFFO2	2.331	2.635	10.529	1.071	2.111	1.882	3.193	1.165	0.686	1.505	1.351	8.311	10.925	23.471	12.807	8.169	17.217	39.455	2.374	7.312	1.397	1.79	1.518	1.488	1.192
IFI16	38.598	33.078	68.057	37.075	61.187	41.389	39.958	35.748	18.539	44.508	22.35	67.86	40.438	169.29	179.197	67.683	154.608	147.882	45.609	30.419	24.255	36.405	17.428	41.3	23.087
IFI27	213.42	145.368	439.166	62.558	514.746	295.658	274.681	29.204	35.872	498.491	150.488	484.505	371.281	960.074	1208.358	292.949	862.715	857.25	250.781	106.568	187.792	96.613	10.668	977.456	70.335
IFI27L1	7.944	4.71	14.364	6.849	8.252	7.075	8.033	6.591	1.658	3.697	4.893	5.245	3.575	6.776	10.375	9.932	6.485	10.116	4.474	2.998	4.619	4.423	3.393	3.115	3.564
IFI27L2	17.748	6.592	35.866	8.412	13.419	9.11	18.666	7.966	4.216	9.062	13.893	9.998	9.083	15.774	18.643	19.128	30.328	36.067	8.778	12.081	11.689	12.648	5.42	6.431	13.998
IFI30	0.605	0.275	1.618	0.082	1.85	0.646	0.054	0.43	0.302	0.321	0.92	2.981	2.249	2.711	6.048	0.25	3.365	2.666	4.813	0.107	0.671	0.181	0.466	0.109	0.6
IFI35	7.576	2.359	9.933	5.031	12.08	4.906	5.209	4.957	3.095	4.778	2.517	21.886	6.206	19.95	30.705	9.556	24.701	17.631	5.901	4.379	6.352	2.679	2.447	10.969	4.014
IFI44	13.779	7.979	27.005	2.133	25.861	4.988	16.382	2.221	3.818	53.657	11.983	63.534	36.099	78.887	97.83	24.987	76.34	94.026	19.895	8.369	20.455	15.192	0.884	73.127	8.336
IFI44L	6.542	4.541	20.804	0.671	42.644	3.279	5.9	2.854	0.928	62.85	6.295	127.884	31.052	152.097	187.4	6.579	89.469	82.912	22.526	3.794	11.66	11.163	0.613	91.768	6.671
IFI6	19.125	11.913	61.818	2.51	30.963	9.947	19.048	7.545	7.334	120.496	16.341	193.141	77.947	203.532	204.973	25.305	244.455	326.491	35.743	32.877	27.189	17.403	4.274	222.228	26.304
IFIH1	4.535	3.942	15.658	6.125	14.854	5.597	8.083	7.386	4.244	12.871	4.242	48.073	10.662	41.938	60.595	11	37.027	44.29	19.876	7.392	6.864	5.144	3.769	15.594	4.136
IFIT1	14.438	9.153	24.598	11.983	18.598	15.326	22.076	15.945	8.587	35.332	8.682	61.521	25.974	107.024	62.652	20.117	125.285	88.839	16.733	14.501	17.828	9.482	6.46	143.192	9.668
IFIT1B	0.458	0.146	0.376	0.307	0.153	0.366	0.22	0.365	0.074	0.083	0.102	0.078	0.07	0.155	0.045	0.177	0.069	0.128	0.078	0.125	0.146	0.135	0.147	0.108	0.098
IFIT2	3.001	2.398	4.284	3.379	7.342	3.29	3.07	3.002	1.575	4.926	1.634	23.684	5.379	17.167	29.913	5.398	15.886	9.7	10.031	1.009	3.15	2.775	1.122	16.997	2.504
IFIT3	9.076	4.046	16.826	6.017	33.528	4.641	10.357	4.085	3.38	21.447	5.087	123.137	20.764	141.491	150.827	14.965	80.549	77.591	22.867	3.283	14.19	7.75	2.142	76.426	7.103
IFIT5	5.91	4.391	9.049	4.351	7.708	5.531	6.806	3.332	4.491	7.696	5.391	15.524	6.738	31.267	25.878	8.857	18.029	22.304	5.942	5.237	4.788	4.639	2.882	10.658	5.216
IFITM1	12.739	15.799	50.423	3.391	105.189	18.443	16.905	4.989	9.34	49.412	11.013	128.47	51.976	168.816	233.142	50.599	156.159	148.61	27.694	19.413	20.063	24.133	8.065	75.93	24.297
IFITM10	1.074	0.859	3.51	3.398	1.162	1.581	0.317	3.21	1.434	1.905	1.168	0.769	0.89	7.716	4.518	3.471	3.999	1.97	0.443	1.938	3.116	1.262	6.115	1.929	1.154
IFITM2	6.252	9.354	21.294	2.608	13.303	8.011	9.374	4.751	4.382	18.031	4.833	35.974	29.106	64.036	83.238	12.622	51.358	38.737	17.002	4.044	8.709	9.66	5.707	7.402	13.82
IFITM3	41.508	27.972	88.289	14.024	94.718	24.835	41.682	11.55	17.237	64.153	25.615	113.955	74.866	212.688	246.206	98.644	192.905	244.776	36.307	42.653	36.194	44.788	10.491	79.134	43.586
IFITM5	0.043	0.077	0	0	0.057	0.015	0	0	0	0.029	0	0.033	0	0.106	0.101	0.108	0.026	0.096	0.033	0.061	0.052	0.018	0	0.04	0
IFNA1	0.05	0	0.312	0	0	0.017	0.05	0.073	0	0	0	0	0.046	0	0	0	0.336	0.338	0.069	0	0	0.127	0	0	0
IFNA10	0.015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IFNA13	0	0	0.084	0.021	0	0	0.041	0.018	0	0	0	0.029	0.069	0	0.101	0.046	0.025	0.09	0.023	0	0	0.021	0	0	0
IFNA14	0	0	0	0	0	0.016	0	0.022	0.017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IFNA16	0.017	0	0	0.027	0	0	0	0.141	0	0	0	0	0.02	0	0	0	0	0	0	0.089	0	0	0	0	0
IFNA17	0	0	0	0	0.012	0	0	0.087	0	0	0	0	0.038	0	0	0	0	0	0.03	0	0	0	0	0.013	0.016
IFNA2	0	0	0.018	0	0	0.014	0.013	0	0.015	0	0	0	0	0	0	0	0	0	0.015	0	0	0	0	0	0.028
IFNA21	0	0	0	0	0	0.031	0.044	0.048	0	0.036	0	0	0.055	0.035	0	0	0.026	0.145	0	0.025	0	0.021	0	0	0.047
IFNA4	0.059	0	0	0	0.035	0	0	0.139	0	0	0	0	0	0	0	0	0	0	0.016	0	0	0.02	0	0.012	0.03
IFNA5	0.107	0.046	0.083	0	0.036	0.016	0.03	0.108	0	0.036	0.021	0	0	0.036	0	0.098	0	0.099	0.017	0	0.041	0.086	0	0.012	0.016
IFNA6	0	0.03	0.013	0	0	0	0.019	0	0	0	0.053	0	0	0	0	0	0	0.063	0	0.032	0.026	0	0	0	0
IFNA7	0	0	0	0	0	0	0.02	0.086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IFNA8	0.014	0	0	0	0.011	0	0	0.033	0	0	0	0.02	0.032	0	0.132	0	0.025	0	0	0.048	0	0	0	0	0
IFNAR1	11.719	8.757	16.604	13.403	9.15	12.609	10.233	14.08	5.911	6.177	10.459	8.604	9.256	24.876	28.818	16.437	18.964	25.477	13.53	4.931	8.615	7.353	6.642	6.761	10.596
IFNAR2	4.73	3.295	12.405	6.045	8.294	6.371	5.656	4.298	3.036	5.14	3.252	6.57	5.985	12.009	15.698	7.925	7.608	17.055	9.507	2.987	3.35	7.112	2.609	3.299	3.7
IFNB1	0.07	0.013	0.071	0	0.014	0.055	0.034	0	0.037	0	0.023	0.024	0	0.041	0.119	0	0.122	0	0.097	0.172	0.07	0.025	0	0	0
IFNE	0.262	0	0.797	0	0.028	0	0.211	0.045	0	0	0.234	0.379	1.11	0.192	0.963	0.102	0.23	2.125	0.096	0.031	0	0.443	0	0.04	0.05
IFNG	0.042	0.043	0.019	0	0.566	0	0.014	0.06	0	0.206	0.058	5.024	0.541	0.899	1.506	0.062	0.32	0.367	0.558	0	0.272	0.02	0	0.317	0.433
IFNGR1	54.445	37.563	89.596	60.193	66.682	57.261	57.249	61.316	30.337	41.014	33.22	46.25	44.153	133.893	93.85	80.711	139.236	174.019	73.74	51.255	33.838	46.492	41.596	35.931	31.695
IFNGR2	24.641	17.499	46.997	13.69	23.468	15.351	20.863	21.171	9.059	12.933	12.826	27.497	29.797	73.332	60.179	52.941	53.574	100.408	35.913	22.374	19.036	21.103	14.07	13.075	24.556
IFNK	3.915	2.938	7.366	6.503	4.928	5.25	4.999	6.837	1.272	1.67	2.918	1.978	1.984	1.27	3.412	1.864	0.8	5.124	6.35	1.419	2.29	2.252	1.456	0.704	1.26
IFNL1	0	0	0.035	0	0	0	0	0.018	0.038	0	0	0.049	0.015	0	0.03	0	0	0	0	0	0	0	0	0	0
IFNL2	0	0	0	0	0	0	0	0	0	0	0	0.071	0.017	0.051	0.102	0	0	0	0.064	0	0	0	0	0.032	0
IFNL3	0.017	0	0	0	0	0	0	0	0	0.018	0	0.102	0.072	0.064	0.119	0	0.031	0.056	0.042	0.022	0.042	0.022	0	0	0
IFNLR1	2.863	1.321	4.674	2.03	2.162	2.022	3.311	2.005	1.162	0.889	0.818	1.961	1.219	6.324	2.091	4.354	3.568	5.56	1.245	1.421	1.294	0.713	1.553	1.25	0.967
IFNW1	0.082	0.097	0.092	0.082	0.05	0.078	0.122	0.125	0.027	0.029	0.018	0.065	0.02	0.072	0.041	0.041	0	0.287	0.021	0.016	0	0	0.014	0.014	0
IFRD1	23.863	18.454	43.947	17.548	20.699	23.338	23.147	20.03	9.855	10.207	22.052	17.227	13.86	26.329	29.674	28.746	33.238	41.692	17.79	23.379	13.308	13.813	27.888	10.948	9.211
IFRD2	11.068	7.329	16.424	9.705	5.509	14.545	7.979	13.197	4.357	4.364	4.408	4.994	6.346	27.541	11.143	18.919	18.01	27.362	4.42	6.832	6.2	4.304	10.349	3.231	6.039
IFT122	11.261	7.681	21.13	11.394	7.085	11.538	8.097	9.633	2.095	3.977	2.958	4.456	3.623	6.984	8.421	7.941	5.537	12.634	6.39	3.697	4.631	6.693	3.97	2.72	4.617
IFT140	6.959	4.007	9.242	6.077	4.015	7.412	4.219	6.027	2.205	1.806	2.247	1.581	1.494	5.58	7.063	7.7	5.003	7.415	1.75	2.343	3.265	2.479	3.058	1.506	2.684
IFT172	13.674	9.147	18.9	12.603	10.967	13.857	10.103	13.827	3.82	3.218	4.28	2.44	3.542	8.278	10.616	8.921	8.366	10.623	5.516	6.563	7.391	6.342	7.984	2.94	4.285
IFT20	12.651	8.389	20.432	11.491	10.664	13.282	13.483	18.34	6.426	7.514	9.404	5.992	5.579	17.841	22.926	22.437	19.492	23.167	9.039	4.934	10.293	8.209	7.283	7.132	8.834
IFT22	7.162	3.278	10.826	4.143	4.122	4.903	5.808	6.422	2.688	4.088	4.286	2.705	4.4	9.083	8.991	12.993	9.708	12.127	3.88	5.286	4.112	4.238	3.197	3.79	4.13
