KR_38	KR_50	KR_51	KR_53	KR_56	KR_57	KR_61	KR_64	KR_08	KR_13	KR_14	KR_15	KR_18	KR_19	KR_21	KR_23	KR_24	KR_25	KR_26	KR_27	KR_28	KR_33	KR_35	KR_48	KR_52
ABCF1	16.642	10.733	23.046	15.934	8.518	17.057	14.439	19.049	7.442	6.249	5.382	6.79	7.519	28.881	18.86	20.109	18.845	27.283	7.3	16.908	9.203	9.011	15.767	6.194	7.557
ABCF2	15.266	7.971	20.966	9.865	9.31	15.646	11.459	15.5	5.808	6.426	5.798	7.56	9.494	24.255	14.436	24.852	20.402	26.055	6.375	15.35	8.507	7.457	12.033	4.496	6.911
ABCF3	18.188	11.048	25.264	19.267	13.243	21.43	14.56	19.339	6.169	7.263	5.575	9.207	7.545	24.659	20.723	21.703	20.344	26.971	8.61	13.283	9.754	7.229	14.071	7.284	8.702
ABCG1	6.039	4.601	13.997	5.38	23.383	19.296	4.253	8.875	3.81	3.748	0.775	3.989	5.019	9.415	16.981	3.088	9.768	12.43	9.392	3.739	9.286	2.955	12.348	4.939	6.017
ABCG2	0.849	0.761	0.554	0.056	0.347	0.291	0.482	0.184	0.106	0.181	0.177	0.226	0.416	0.437	0.509	0.726	0.745	1.206	0.458	1.029	0.279	0.186	0.102	0.041	0.234
ABCG4	0.06	0.033	0.133	0.027	0.057	0.147	0.011	0.052	0.007	0.034	0.01	0.003	0.044	0.017	0.088	0.064	0.075	0.087	0.022	0.017	0.033	0.059	0.019	0.017	0.013
ABCG5	0.175	0.113	0.201	0.133	0.068	0.209	0.097	0.229	0.08	0.056	0.129	0.02	0.039	0.075	0.104	0.076	0.074	0.187	0.121	0.027	0.105	0.043	0.005	0.04	0.089
ABCG8	0.038	0.003	0.01	0.011	0.003	0.016	0.026	0.021	0.015	0.016	0	0.019	0	0.037	0.009	0	0.041	0.013	0.017	0.034	0.005	0.02	0.019	0.006	0.007
ABHD1	0.278	0.087	0.252	0.105	0.236	0.181	0.178	0.38	0.166	0.143	0.099	0.123	0.077	0.365	0.044	0.587	0.256	0.972	0.068	0.143	0.045	0.057	0.102	0.067	0.209
ABHD10	5.091	3.218	6.882	9.089	5.405	10.646	4.89	7.817	5.877	5.946	4.332	1.599	3.293	9.482	9.483	12.003	9.908	3.684	4.843	0.867	3.879	3.969	2.521	3.943	4.812
ABHD11	11.586	8.158	9.572	13.012	6.304	14.222	12.717	10.353	5.959	4.185	2.612	3.65	3.228	27.938	9.206	20.435	16.692	16.528	3.502	14.794	5.118	3.353	14.418	4.503	5.78
ABHD12	18.345	11.834	28.049	16.939	15.101	20.565	12.476	19.262	6.917	8.426	4.884	8.399	11.693	21.8	19.264	17.844	19.1	21.932	10.782	11.844	10.597	8.374	12.562	6.774	7.469
ABHD12B	1.342	1.113	2.526	1.19	1.886	1.2	1.26	1.132	0.277	1.136	0.673	0.448	0.598	2.267	1.569	1.203	0.651	1.991	1.17	0.411	0.435	1.344	0.121	0.483	0.444
ABHD13	4.557	3.711	6.205	5.378	4.243	6.471	4.942	8.398	3.058	3.414	4.618	3.994	2.949	11.172	9.546	6.034	8.19	12.687	4.487	3.079	3.032	3.411	3.193	2.617	2.922
ABHD14A	2.027	1.144	2.987	1.655	1.256	2.025	1.103	1.547	0.925	1.396	0.857	0.939	0.872	2.576	2.634	3.386	2.067	2.364	0.612	0.97	1.537	0.941	1.253	0.814	1.75
ABHD14A-ACY1	0.682	0.275	0.706	0.664	0.414	0.653	0.439	0.688	0.124	0.155	0.21	0.368	0.296	0.805	0.765	0.638	0.334	0.87	0.216	0.283	0.406	0.187	0.216	0.053	0.408
ABHD14B	5.919	3.258	7.873	4.612	3.92	4.281	4.283	4.622	2.27	2.626	1.338	2.035	2.213	5.156	8.061	6.275	4.718	7.489	2.779	2.994	3.042	2.904	2.484	1.604	2.462
ABHD15	1.723	1.515	2.587	1.693	1.574	2.036	0.977	1.608	0.76	0.981	0.833	0.956	1.267	2.555	2.828	2.617	2.445	2.945	0.886	0.981	1.15	0.951	1.212	0.895	1.002
ABHD16A	19.605	11.437	23.726	14.232	16.846	19.129	15.426	17.405	5.868	6.497	4.922	9.988	6.004	27.971	27.073	21.249	23.547	29.763	8.906	13.032	7.817	7.38	9.011	5.755	7.55
ABHD16B	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD17A	3.48	4.485	8.066	3.169	2.607	3.136	2.143	2.024	4.384	6.345	4.199	7.282	6.181	18.059	14.533	14.531	14.018	20.315	1.018	7.054	6.449	4.394	6.094	4.61	6.129
ABHD17B	9.288	6.409	10.564	10.101	6.19	10.759	9.65	14.153	5.923	5.85	4.359	4.935	4.387	15.644	11.699	13.131	13.096	15.696	4.745	4.845	5.867	4.344	8.482	3.95	4.297
ABHD17C	15.079	12.934	11.441	16.247	15.039	21.67	18.111	20.608	7.569	12.237	6.648	9.397	7.303	41.993	20.314	18.569	27.567	33.86	7.351	11.608	8.452	9.664	14.881	9.172	6.949
ABHD2	21.441	10.745	39.943	26.044	15.069	19.784	18.325	23.133	9.027	9.872	8.48	15.424	17.512	37.93	25.295	35.056	29.3	41.498	24.509	12.064	14.049	12.815	14.117	8.495	23
ABHD3	7.282	5.926	9.894	4.913	6.449	6.557	8.723	7.2	1.757	3.392	3.076	5.899	4.918	9.891	8.061	5.988	7.181	9.701	12.062	7.542	2.825	3.479	4.835	2.097	3.908
ABHD4	6.578	5.476	10.016	9.909	5.345	9.195	9.424	10.51	2.894	5.105	3.469	4.133	1.568	14.016	12.818	11.752	19.654	14.322	4.06	4.63	4.95	4.571	6.394	5.536	4.278
ABHD5	17.723	10.894	31.708	15.01	13.156	16.369	19.734	17.38	10.127	9.64	10.066	10.454	10.494	22.418	22.318	15.158	21.283	31.348	15.952	11.268	8.747	12.26	13.63	10.569	8.586
ABHD6	8.011	7.167	14.37	10.028	7.324	18.407	7.175	17.153	5.99	3.369	3.925	3.561	2.147	9.913	11.978	10.71	11.226	12.712	4.442	10.063	6.415	6.001	14.861	2.523	3.565
ABHD8	1.24	1.155	2.622	1.255	0.937	1.567	1.183	0.934	0.784	1.243	0.525	0.752	1.406	3.33	3.353	3.908	2.757	3.625	0.414	1.2	1.562	0.849	2.081	0.994	1.582
ABI1	32.255	20.817	58.96	27.136	26.741	30.278	40.744	38.387	23.015	17.405	19.624	29.973	22.701	81.635	53.69	56.317	53.845	94.318	32.017	45.112	23.046	22.665	27.614	15.505	23.819
ABI2	13.408	10.73	15.446	16.169	11.52	19.948	11.287	27.618	8.313	8.768	8.583	5.016	3.224	16.808	12.595	17.551	10.989	18.276	5.171	10.757	9.254	6.062	14.731	6.987	8.885
ABI3	0.298	0.224	0.683	0.093	0.807	0.15	0.117	0.108	0.264	0.766	0.139	2.441	2.365	1.653	1.755	0.229	0.557	0.702	1.003	0.213	0.445	0.332	0.072	0.426	0.535
ABI3BP	29.279	38.037	42.76	20.221	18.265	56.678	37.446	39.741	16.035	13.623	36.384	7.674	8.911	32.102	39.35	50.678	14.681	45.443	13.428	16.619	20.794	21.392	32.514	20.924	47.092
ABL1	11.245	6.699	14.022	8.101	7.655	12.432	7.113	10.071	3.24	3.874	3.269	4.034	5.502	13.822	15.717	13.469	13.962	19.508	6.012	6.872	4.996	5.341	5.616	2.762	4.846
ABL2	11.338	4.148	21.934	5.363	6.752	4.55	17.864	6.468	2.094	4.207	5.154	12.896	8.799	16.571	14.631	8.636	14.735	33.767	15.188	17.927	7.799	5.639	9.647	5.08	4.234
ABLIM1	26.763	19.807	64.382	25.204	23.351	29.577	34.883	21.659	16.454	25.708	9.688	28.827	21.002	52.633	49.546	34.196	78.698	64.298	14.425	40.471	22.047	24.722	16.152	19.248	14.622
